Probability,number
0.0,0.0
0.01,0.38
0.02,0.61
0.03,0.89
0.04,1.21
0.05,1.56
0.06,1.7
0.07,1.71
0.08,2.16
0.09,2.3
0.1,2.51
0.11,2.84
0.12,3.75
0.13,3.55
0.14,4.29
0.15,4.86
0.16,5.37
0.17,5.99
0.18,6.65
0.19,7.11
0.2,9.04
0.21,9.93
0.22,11.1
0.23,12.03
0.24,14.03
0.25,15.55
0.26,17.22
0.27,21.83
0.28,25.06
0.29,28.92
0.3,36.35
0.31,37.69
0.32,52.17
0.33,60.16
0.34,65.32
0.35000000000000003,98.09
0.36,125.75
0.37,171.31
0.38,189.22
0.39,276.72
0.4,378.25
0.41000000000000003,491.62
0.42,617.29
0.43,736.7
0.44,765.33
0.45,909.36
0.46,956.87
0.47000000000000003,1035.69
0.48,1114.58
0.49,1148.54
0.5,1189.75
0.51,1232.18
0.52,1258.09
0.53,1298.92
0.54,1322.09
0.55,1349.14
0.56,1382.99
0.5700000000000001,1412.84
0.58,1438.22
0.59,1465.37
0.6,1489.91
0.61,1519.36
0.62,1546.67
0.63,1570.93
0.64,1597.63
0.65,1623.75
0.66,1645.86
0.67,1669.33
0.68,1697.84
0.6900000000000001,1723.76
0.7000000000000001,1748.57
0.71,1773.55
0.72,1798.43
0.73,1826.37
0.74,1850.85
0.75,1876.96
0.76,1898.31
0.77,1922.09
0.78,1946.71
0.79,1975.96
0.8,1999.07
0.81,2027.99
0.8200000000000001,2050.06
0.8300000000000001,2075.75
0.84,2098.56
0.85,2126.56
0.86,2150.12
0.87,2172.03
0.88,2199.52
0.89,2224.42
0.9,2249.23
0.91,2275.81
0.92,2297.36
0.93,2324.72
0.9400000000000001,2352.52
0.9500000000000001,2375.52
0.96,2399.45
0.97,2425.4
0.98,2451.07
0.99,2474.42
