Probability,number
0.0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35000000000000003,1
0.36,7
0.37,12
0.38,13
0.39,23
0.4,42
0.41000000000000003,57
0.42,69
0.43,84
0.44,81
0.45,92
0.46,94
0.47000000000000003,98
0.48,100
0.49,100
0.5,99
0.51,100
0.52,100
0.53,100
0.54,100
0.55,100
0.56,100
0.5700000000000001,100
0.58,100
0.59,100
0.6,100
0.61,100
0.62,100
0.63,100
0.64,100
0.65,100
0.66,100
0.67,100
0.68,100
0.6900000000000001,100
0.7000000000000001,100
0.71,100
0.72,100
0.73,100
0.74,100
0.75,100
0.76,100
0.77,100
0.78,100
0.79,100
0.8,100
0.81,100
0.8200000000000001,100
0.8300000000000001,100
0.84,100
0.85,100
0.86,100
0.87,100
0.88,100
0.89,100
0.9,100
0.91,100
0.92,100
0.93,100
0.9400000000000001,100
0.9500000000000001,100
0.96,100
0.97,100
0.98,100
0.99,100
