N, j, SI
1000, 0.1, 0.8039790773809523
1000, 0.2, 0.8068075119047619
1000, 0.30000000000000004, 0.8690055535714286
1000, 0.4, 0.9430708690476192
1000, 0.5, 0.9483170595238096
1000, 0.6, 0.9931177857142858
1000, 0.7000000000000001, 0.9993080000000001
1000, 0.8, 0.9999106666666667
3000, 0.1, 0.5584130952380952
3000, 0.2, 0.5997941587301586
3000, 0.30000000000000004, 0.7436146884920635
3000, 0.4, 0.8250580833333335
3000, 0.5, 0.8897605436507936
3000, 0.6, 0.9601530833333334
3000, 0.7000000000000001, 0.9948250000000001
3000, 0.8, 0.9997393333333332
